month,hair_oil,hair_perfume,shampoo_bar,heatless_curls,satin_pillowcase
2024-01,28.5,1.0,2.0,2.0,0.8
2024-02,27.3,1.0,2.0,1.8,0.8
2024-03,26.0,1.0,2.0,1.0,0.2
2024-04,26.3,1.0,2.0,1.0,0.0
2024-05,26.3,1.0,2.0,1.0,0.0
2024-06,26.8,1.0,2.0,1.0,0.0
2024-07,27.5,1.3,2.0,1.0,0.3
2024-08,27.3,1.0,2.0,1.3,0.0
2024-09,25.6,1.0,1.2,1.2,0.0
2024-10,24.8,1.0,1.3,1.8,0.0
2024-11,27.8,2.3,1.8,2.5,0.8
2024-12,30.8,2.0,2.0,2.2,1.0
2025-01,30.8,1.0,2.0,2.0,0.5
2025-02,30.0,1.0,1.8,2.0,0.8
2025-03,28.2,1.6,2.0,1.8,0.0
2025-04,26.5,2.0,2.0,1.0,0.0
2025-05,27.0,2.0,2.0,1.0,0.0
2025-06,26.4,1.8,2.0,1.0,0.0
2025-07,32.5,2.3,2.3,1.0,0.3
2025-08,26.8,2.0,2.0,1.0,0.0
2025-09,23.8,1.5,1.5,1.0,0.0
2025-10,24.0,2.0,1.3,1.0,0.0
2025-11,29.8,4.0,2.0,1.2,1.0
2025-12,31.3,4.3,2.0,1.5,1.0
2026-01,33.8,2.3,2.0,1.8,0.5
2026-02,33.3,2.3,2.0,1.5,0.8
2026-03,47.8,4.0,4.4,1.0,1.0
2026-04,80.5,9.8,11.8,1.0,1.5
2026-05,63.4,6.8,8.0,1.0,1.2
2026-06,55.3,5.0,6.5,1.0,1.0
2026-07,31.0,2.3,2.3,1.0,0.3
2026-08,25.4,2.0,1.2,1.4,0.2
